calories,weight_gained_kg
2060,-0.02
2494,0.1
2330,0.04
2295,-0.1
2838,0.24
3369,0.27
1666,0.05
2438,-0.05
1530,0.11
2682,-0.08
3335,0.24
1330,0.18
2885,-0.01
1969,-0.07
3591,0.22
2715,0.03
3633,0.02
2415,0.06
2155,-0.11
3524,0.25
2384,-0.06
1659,0.14
1221,-0.19
3500,0.15
1947,0.09
1674,-0.19
2282,0.06
3758,0.38
3247,-0.03
3947,0.27
2175,0.05
3006,0.22
1389,-0.23
3934,0.09
1762,0.03
3099,0.18
2467,0.09
2728,0.14
1846,-0.1
3268,0.19
3414,0.22
2497,-0.02
3635,0.43
1800,0.03
3563,0.06
3261,0.24
1441,-0.19
3241,0.25
3812,0.37
2563,-0.03
3339,0.29
2590,0.13
2678,0.19
3756,0.45
1975,-0.03
1234,-0.19
3453,0.08
3155,0.05
2785,0.09
2221,0.07
3813,0.27
2329,0.14
2700,0.09
1902,0.16
3649,0.18
3977,0.58
2779,0.18
1361,-0.19
1401,-0.21
3181,0.21
2195,-0.0
3517,0.28
2015,0.06
1655,-0.05
2475,-0.04
2216,-0.15
3543,0.14
3967,0.36
1537,-0.03
2078,-0.14
2276,0.06
1991,0.05
3464,0.08
1963,0.01
3435,0.19
1579,-0.19
1692,0.0
2380,0.12
3262,0.29
1264,0.03
3768,0.06
2567,-0.04
2352,0.11
3227,0.22
3895,0.31
2695,0.55
2362,0.12
2722,0.23
3840,0.35
1591,0.03
2898,0.08
1618,0.04
3536,0.1
1578,-0.08
2996,0.07
3478,0.2
3288,0.44
3382,-0.05
1400,0.01
3063,-0.06
1979,-0.06
1702,0.09
3654,0.22
2951,-0.01
2004,-0.09
3346,0.25
3931,0.16
3095,0.17
3973,0.26
2770,0.02
2160,0.28
3860,0.32
2685,-0.15
3890,0.27
2228,-0.05
1702,0.06
1597,-0.15
2070,-0.0
1592,0.01
1406,0.03
2238,-0.11
3081,0.1
2684,0.03
2063,-0.07
3990,0.47
1763,0.02
2220,-0.12
1295,0.02
3123,0.4
2957,0.25
3732,0.04
3478,0.13
3996,0.41
2878,0.03
1740,0.02
2259,0.13
3772,0.12
2383,0.04
2922,-0.27
3019,0.01
3825,0.2
3929,0.1
3804,0.43
2797,-0.07
3893,0.19
1995,0.02
2251,0.21
2843,-0.06
2563,0.21
3181,0.15
2554,-0.05
2863,0.17
2729,0.12
3238,0.09
2696,0.1
3437,0.14
2608,0.09
2600,0.16
2506,0.26
3880,0.09
3875,0.5
2172,-0.21
2968,0.11
2482,0.13
1909,0.02
2679,0.01
2634,0.06
1848,-0.08
1517,-0.13
2457,0.16
1883,0.03
1863,-0.1
3198,0.26
2831,0.14
2695,0.19
2336,0.12
3053,0.04
2720,0.03
3689,0.31
1763,0.04
2491,0.06
2836,0.12
1898,0.14
3360,0.1
1201,-0.04
1841,-0.04
3467,0.16
2789,0.23
2054,0.11
2959,0.22
